Nganh,TenCoPhieu,TileTB,GiaBanTB,Thang1,Thang2,Thang3,Thang4,Thang5,Thang6,Thang7,Thang8,Thang9,Thang10,Thang11,Thang12
Utilities,CPN,1.001858,21.97513,0.98825,0.985,1.021294,1.0174,0.9901111,0.987,1.017,1.0267,0.982,1.026778,0.974,1.006769
Utilities,CQP,1.006604,31.24353,0.989,1.001,1.008917,1.028071,1.000778,0.9943846,1.001312,1.006571,0.9975556,1.0342,0.9843,1.033154
Trans,DAL,1.021038,38.27252,1.017,1.028,1.007333,1.039692,1.013,1.0042,1.014,1.011167,0.98925,1.082667,1.0274,1.01875
Banks,DB,0.9859689,38.29668,0.9921666,0.9992222,0.9565,0.9889,0.9909524,0.9795555,0.9869524,1.012353,0.99265,0.9638236,1.000364,0.9681875
BasicInd,DD,1.011304,67.76233,1.02,1.02825,1.006846,0.9978572,1.0156,0.987125,0.9993334,1.004,1.006875,1.0194,1.014857,1.0355
BasicInd,DOW,1.005694,49.70538,1.0052,1.0275,0.9982941,0.9998889,1.016211,0.9983125,0.9993529,1.015167,0.9910833,1.011,1.0195,0.9868182
Service,EBAY,0.9997798,53.47175,1.0175,1.0195,0.992,1.003,0.983,1.012,1.017091,1.0043,0.936,1.000667,1.0036,1.0087
Trans,ECHO,0.9994195,21.8849,0.9953,0.9611667,1.024,0.9456,0.97825,0.99975,1,1.0194,0.9886667,1.0464,1.0455,0.989
ETFs,ECPG,0.9941682,44.46689,0.964,0.9946,1.016,0.9415,0.9785714,1.022667,0.9987692,1.014583,0.9937273,1.0076,0.993,1.005
Tech,EMC,1.007335,27.9938,1.019333,1.009333,1.000333,0.984,0.992,0.9987692,1.01,0.996,0.999,1.02625,0.984,1.069
Utilities,ENB,0.9979644,46.55684,0.9903333,1.02525,1.0145,1.007,0.9993333,0.996625,0.9834445,1.0015,0.974,0.9724,1.012688,0.9985
Utilities,EQM,0.9974456,80.4391,1.016667,1.009,1.018333,1.0115,1.006,1.021,0.9917143,1.0483,0.9881667,0.888,0.9636667,1.007
Insurance,ESNT,1.013328,22.14714,1.010714,0.9913636,0.9888889,0.994,1.0065,1.015,1.028,1.027,0.9807143,1.0555,1.066,0.99625
Service,ESRX,1.002613,73.62774,0.98,1.0305,0.9924999,0.9715,1.014444,0.9968572,1.003333,1.0175,0.988875,1.016846,1.032,0.987
Utilities,ETE,1.003708,54.04151,0.9904,1,1.0086,0.9985294,1.038875,1.003833,0.997,1.029667,0.9834545,1.0273,0.976125,0.9907059
InvServ,ETFC,1.015759,22.15166,0.965,1.0635,1.026333,1.014,0.9524286,1.0148,0.9948,0.9948334,0.998,1.04975,1.023667,1.092
Utilities,EXC,1.008588,33.98283,1.022231,1.007833,1.028882,1.01525,1.004,0.9901111,0.98875,1.014,1.003,1.037,1.008,0.984
Cons-Cyc,F,1.00739,15.88808,1.008909,1.013667,1.020462,0.9914,1.014818,1.018556,1.009,1.004333,0.9288333,0.9964,1.082,1.0003
Banks,FBC,0.9972845,18.05414,1.0155,1.0188,0.988,0.931,1.05,1.006833,0.976,0.971,0.9853636,1.01825,0.9846666,1.022
InvServ,FIG,0.991769,7.557938,0.9513333,1.0028,0.9778182,0.985,1.0023,1.005143,0.9775,1.003,0.984,1.044,1.004333,0.964
Insurance,FNF,1.003655,30.56041,1.024,1.0362,0.9875,0.988,1.010857,0.927,1.0035,1.00475,0.9885,1.04,1.0388,0.99475
SemiCon,FORM,1.003921,7.165443,1.000364,1.03325,0.9615555,0.9953333,0.961,1.017615,0.97,1.065429,0.942,1.156,0.984,0.9605
Cons-Cyc,FSYS,1.005653,10.46504,0.932,1.078667,0.962,1.02,0.9795,1.063,1.0245,0.9848571,0.9944286,0.984,1.051,0.9938889
