Nganh,TenCoPhieu,TileTB,GiaBanTB,Thang1,Thang2,Thang3,Thang4,Thang5,Thang6,Thang7,Thang8,Thang9,Thang10,Thang11,Thang12
Semicond,EZCH,1.008972,36.71221,1.042857,1.060833,1.016857,1.0032,0.9586363,1.02525,1.008571,1.020059,0.9824,0.99,1.0335,0.9655
Cons-Cyc,FAS,1.019683,98.0223,1.045667,1.1,1.026,0.9916,0.9787778,1.030444,0.9937692,1.02385,1.024211,1.000308,0.9766667,1.044909
Banks,FAST,1.001465,44.95021,1.021,1.044833,0.9956667,0.97625,0.9594,1.0115,1.0088,0.9825,1.0066,0.9873333,0.9877,1.036
Banks,FBP,0.9903792,3.906875,1.003,0.9775,0.973,1.0365,0.913,1.0928,0.952,1.02775,1.014625,0.977375,0.9505,0.9665
Transp,FDX,1.003121,89.57941,1.023,0.9915,1.011571,1.002429,1.000357,1.010167,0.9963334,0.9895714,0.9666667,1.037857,0.987,1.021
Utilities,FE,1.004708,44.92417,1.0345,0.995,0.995,1.016667,1.018,1.014,1.0105,0.99,1.004333,1.015,0.9625,1.001
Banks,FHN,1.002923,9.287885,1.0225,1.017714,1.002667,0.9765,0.9713333,1.018625,0.9699091,1.0405,0.9913333,1.016,0.992,1.016
Tech,FIO,0.9710322,24.7644,0.867,0.977,0.9494286,0.8826666,0.9661428,1.018111,0.9568,1.104867,1.0122,0.9404,0.9883333,0.9894375
Banks,FNFG,0.9988895,8.489155,1.013,0.98275,0.96575,0.9898334,0.9694,0.97,1.011857,1.048667,1.029667,1.01,0.97,1.02575
Services,FRT,1.003095,102.0255,1.01575,0.9988889,1.002231,1.010556,0.9936666,1.028,1.003333,1.006286,1.0025,0.9992667,0.972,1.004667
Semicond,FSLR,1.011553,24.41969,1.082,0.9098,0.9530769,0.9812222,0.948,1.056333,1.031143,1.0036,1.044091,1.052,1.0245,1.052875
Transp,FWRD,0.9999585,33.59716,1.035429,0.9913334,1.027375,0.9884167,0.9986923,1.003857,1.007167,1.021143,0.918,0.994,0.9897143,1.024375
Energy,FXEN,1.00596,5.759326,1.068125,1.002333,0.921,0.965,0.9616666,1.117,1.0165,1.04225,1.026,0.9215,0.9891428,1.041
Transp,GBX,0.9969953,18.29199,0.945,0.9363334,0.945,0.9445714,0.9412223,1.00725,0.9502222,1.037889,1.086667,1.05025,1.099538,1.02
Cons-Cyc,GIL,1.015346,29.05294,0.981,1.0312,0.9895,1.0275,0.9445,1.096,1.015,1.031143,1.0046,1.066,0.996,1.001714
Cons-Cyc,GLD,0.9966019,162.4247,1.002667,1.008231,0.986875,0.98175,0.991,0.9805,0.9977692,1.0185,1.014545,0.9886364,0.99875,0.99
Cons-NonCyc,GMCR,1.018485,36.19217,1.155636,1.000067,0.8973637,0.79625,0.9412727,1.0822,1.0525,1.041533,1.049857,0.977,1.2072,1.020941
Services,GMO,1.005363,3.338221,1.046556,0.9674,0.9548,0.966875,0.976,0.9982,0.96725,1.011,1.05,1.039333,1.021143,1.0658
Basiclnd,GSM,0.9985555,14.14853,1.044,0.9725,0.9926667,0.9943334,0.9651667,1.0065,0.989,0.989,1.004,1.00725,0.99825,1.02
Semicond,GTAT,0.9896048,5.840458,1.055714,1.01825,0.9976667,0.9065,0.9600769,1.03975,0.9622,1.002,0.975,0.977,0.9541,1.027
Banks,GTLS,0.9951195,67.15925,1.03,0.995,1.023875,0.969,0.93,1.013667,1.000333,0.9878333,1.013125,0.9625,0.991,1.0251
Transp,GWR,1.009995,62.42219,1.011,0.9961818,1.0095,1.006,0.962,1.022,1.052,1.011143,1.018889,1.020273,0.98025,1.0307
Utilities,GXP,0.9981399,20.98588,0.9804286,1.0095,0.998,0.969,1.00425,1.0145,1.012417,1.00525,1.006667,1.002,0.9766667,0.999
Cons-Cyc,HAR,1.006436,43.50068,1.049,0.9861429,1.007125,0.9662857,0.9865556,0.9962857,1.014167,1.035563,1.03175,0.9376667,1.000286,1.0664
Health,HCA,0.9848176,28.07589,1.0115,0.9188889,0.9896666,1.00325,0.9875001,0.9963333,1.008,1.016,1.0059,0.9792727,0.9235,0.978
